,id,description
135,anl14_high_ptp_fp2,The Highest estimation of Pretax Profit - upcoming 2 quarters
136,anl14_high_ptp_fp3,The Highest estimation of Pretax Profit - upcoming 3 quarters
137,anl14_high_ptp_fy1,The Highest estimation of Pretax Profit - upcoming year
138,anl14_high_ptp_fy2,The Highest estimation of Pretax Profit - upcoming 2 years
139,anl14_high_ptp_fy3,The Highest estimation of Pretax Profit - upcoming 3 years
140,anl14_high_ptp_fy4,The Highest estimation of Pretax Profit - upcoming 4 years
141,anl14_high_ptp_fy5,The Highest estimation of Pretax Profit - upcoming 5 years
142,anl14_high_ptprep_fy1,The Highest estimation of Reported Pretax Profit - upcoming year
143,anl14_high_ptprep_fy2,The Highest estimation of Reported Pretax Profit - upcoming 2 years
144,anl14_high_ptprep_fy3,The Highest estimation of Reported Pretax Profit - upcoming 3 years
145,anl14_high_ptprep_fy4,The Highest estimation of Reported Pretax Profit - upcoming 4 years
146,anl14_high_ptprep_fy5,The Highest estimation of Reported Pretax Profit - upcoming 5 years
147,anl14_high_revenue_fp1,The Highest estimation of Revenue - upcoming quarter
148,anl14_high_revenue_fp2,The Highest estimation of Revenue - upcoming 2 quarters
149,anl14_high_revenue_fp3,The Highest estimation of Revenue - upcoming 3 quarters
150,anl14_high_revenue_fp4,The Highest estimation of Revenue - upcoming 4 quarters
151,anl14_high_revenue_fp5,The Highest estimation of Revenue - upcoming 5 quarters
152,anl14_high_revenue_fy1,The Highest estimation of Revenue - upcoming year
153,anl14_high_revenue_fy2,The Highest estimation of Revenue - upcoming 2 years
154,anl14_high_revenue_fy3,The Highest estimation of Revenue - upcoming 3 years
155,anl14_high_revenue_fy4,The Highest estimation of Revenue - upcoming 4 years
156,anl14_high_revenue_fy5,The Highest estimation of Revenue - upcoming 5 years
157,anl14_high_roa_fy1,The Highest estimation of Returns on Assets - upcoming year
158,anl14_high_roa_fy2,The Highest estimation of Returns on Assets - upcoming 2 years
159,anl14_high_roa_fy3,The Highest estimation of Returns on Assets - upcoming 3 years
160,anl14_high_roa_fy4,The Highest estimation of Returns on Assets - upcoming 4 years
161,anl14_high_roe_fp1,The Highest estimation of Returns on Equity - upcoming quarter
162,anl14_high_roe_fp2,The Highest estimation of Returns on Equity - upcoming 2 quarters
163,anl14_high_roe_fp3,The Highest estimation of Returns on Equity - upcoming 3 quarters
164,anl14_high_roe_fp4,The Highest estimation of Returns on Equity - upcoming 4 quarters
165,anl14_high_roe_fy1,The Highest estimation of Returns on Equity - upcoming year
166,anl14_high_roe_fy2,The Highest estimation of Returns on Equity - upcoming 2 years
167,anl14_high_roe_fy3,The Highest estimation of Returns on Equity - upcoming 3 years
168,anl14_high_roe_fy4,The Highest estimation of Returns on Equity - upcoming 4 years
169,anl14_high_roe_fy5,The Highest estimation of Returns on Equity - upcoming 5 years
170,anl14_low_bvps_fp1,The Lowest estimation of Book Value Per Share - upcoming quarter
171,anl14_low_bvps_fp2,The Lowest estimation of Book Value Per Share - upcoming 2 quarters
172,anl14_low_bvps_fp3,The Lowest estimation of Book Value Per Share - upcoming 3 quarters
173,anl14_low_bvps_fp4,The Lowest estimation of Book Value Per Share - upcoming 4 quarters
174,anl14_low_bvps_fp5,The Lowest estimation of Book Value Per Share - upcoming 5 quarters
175,anl14_low_bvps_fy1,The Lowest estimation of Book Value Per Share - upcoming year
176,anl14_low_bvps_fy2,The Lowest estimation of Book Value Per Share - upcoming 2 years
177,anl14_low_bvps_fy3,The Lowest estimation of Book Value Per Share - upcoming 3 years
178,anl14_low_bvps_fy4,The Lowest estimation of Book Value Per Share - upcoming 4 years
179,anl14_low_bvps_fy5,The Lowest estimation of Book Value Per Share - upcoming 5 years
180,anl14_low_capex_fp1,The Lowest estimation of Capital Expenditures - upcoming quarter
181,anl14_low_capex_fp2,The Lowest estimation of Capital Expenditures - upcoming 2 quarters
182,anl14_low_capex_fp3,The Lowest estimation of Capital Expenditures - upcoming 3 quarters
183,anl14_low_capex_fp4,The Lowest estimation of Capital Expenditures - upcoming 4 quarters
184,anl14_low_capex_fp5,The Lowest estimation of Capital Expenditures - upcoming 5 quarters
185,anl14_low_capex_fy1,The Lowest estimation of Capital Expenditures - upcoming year
186,anl14_low_capex_fy2,The Lowest estimation of Capital Expenditures - upcoming 2 years
187,anl14_low_capex_fy3,The Lowest estimation of Capital Expenditures - upcoming 3 years
188,anl14_low_capex_fy4,The Lowest estimation of Capital Expenditures - upcoming 4 years
189,anl14_low_capex_fy5,The Lowest estimation of Capital Expenditures - upcoming 5 years
190,anl14_low_cfps_fp1,The Lowest estimation of Cash Flow Per Share - upcoming quarter
191,anl14_low_cfps_fp2,The Lowest estimation of Cash Flow Per Share - upcoming 2 quarters
192,anl14_low_cfps_fp3,The Lowest estimation of Cash Flow Per Share - upcoming 3 quarters
193,anl14_low_cfps_fp4,The Lowest estimation of Cash Flow Per Share - upcoming 4 quarters
194,anl14_low_cfps_fy1,The Lowest estimation of Cash Flow Per Share - upcoming year
195,anl14_low_cfps_fy2,The Lowest estimation of Cash Flow Per Share - upcoming 2 years
196,anl14_low_cfps_fy3,The Lowest estimation of Cash Flow Per Share - upcoming 3 years
197,anl14_low_cfps_fy4,The Lowest estimation of Cash Flow Per Share - upcoming 4 years
198,anl14_low_div_fp1,The Lowest estimation of Dividend - upcoming quarter
199,anl14_low_div_fp2,The Lowest estimation of Dividend - upcoming 2 quarters
200,anl14_low_div_fp3,The Lowest estimation of Dividend - upcoming 3 quarters
201,anl14_low_div_fp4,The Lowest estimation of Dividend - upcoming 4 quarters
202,anl14_low_div_fp5,The Lowest estimation of Dividend - upcoming 5 quarters
203,anl14_low_div_fy1,The Lowest estimation of Dividend - upcoming year
204,anl14_low_div_fy2,The Lowest estimation of Dividend - upcoming 2 years
205,anl14_low_div_fy3,The Lowest estimation of Dividend - upcoming 3 years
206,anl14_low_div_fy4,The Lowest estimation of Dividend - upcoming 4 years
207,anl14_low_div_fy5,The Lowest estimation of Dividend - upcoming 5 years
208,anl14_low_ebit_fp1,The Lowest estimation of Earnings Before Interest & Taxes - upcoming quarter
209,anl14_low_ebit_fp2,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 2 quarters
210,anl14_low_ebit_fp3,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 3 quarters
211,anl14_low_ebit_fp4,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 4 quarters
212,anl14_low_ebit_fp5,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 5 quarters
213,anl14_low_ebit_fy1,The Lowest estimation of Earnings Before Interest & Taxes - upcoming year
214,anl14_low_ebit_fy2,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 2 years
215,anl14_low_ebit_fy3,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 3 years
216,anl14_low_ebit_fy4,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 4 years
217,anl14_low_ebit_fy5,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 5 years
218,anl14_low_ebitda_fp1,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming quarter"
219,anl14_low_ebitda_fp2,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 2 quarters"
220,anl14_low_ebitda_fp3,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 3 quarters"
221,anl14_low_ebitda_fp4,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 4 quarters"
222,anl14_low_ebitda_fp5,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 quarters"
223,anl14_low_ebitda_fy1,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming year"
224,anl14_low_ebitda_fy2,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 2 years"
225,anl14_low_ebitda_fy3,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 3 years"
226,anl14_low_ebitda_fy4,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 4 years"
227,anl14_low_ebitda_fy5,"The Lowest estimation of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 years"
228,anl14_low_eps_fp1,The Lowest estimation of Earnings Per Share - upcoming quarter
229,anl14_low_eps_fp2,The Lowest estimation of Earnings Per Share - upcoming 2 quarters
230,anl14_low_eps_fp3,The Lowest estimation of Earnings Per Share - upcoming 3 quarters
231,anl14_low_eps_fp4,The Lowest estimation of Earnings Per Share - upcoming 4 quarters
232,anl14_low_eps_fp5,The Lowest estimation of Earnings Per Share - upcoming 5 quarters
233,anl14_low_eps_fy1,The Lowest estimation of Earnings Per Share - upcoming year
234,anl14_low_eps_fy2,The Lowest estimation of Earnings Per Share - upcoming 2 years
235,anl14_low_eps_fy3,The Lowest estimation of Earnings Per Share - upcoming 3 years
236,anl14_low_eps_fy4,The Lowest estimation of Earnings Per Share - upcoming 4 years
237,anl14_low_eps_fy5,The Lowest estimation of Earnings Per Share - upcoming 5 years
238,anl14_low_epsrep_fp1,The Lowest estimation of Reported Earnings Per Share - upcoming quarter
239,anl14_low_epsrep_fp2,The Lowest estimation of Reported Earnings Per Share - upcoming 2 quarters
240,anl14_low_epsrep_fp3,The Lowest estimation of Reported Earnings Per Share - upcoming 3 quarters
241,anl14_low_epsrep_fp4,The Lowest estimation of Reported Earnings Per Share - upcoming 4 quarters
242,anl14_low_epsrep_fp5,The Lowest estimation of Reported Earnings Per Share - upcoming 5 quarters
243,anl14_low_epsrep_fy1,The Lowest estimation of Reported Earnings Per Share - upcoming year
244,anl14_low_epsrep_fy2,The Lowest estimation of Reported Earnings Per Share - upcoming 2 years
245,anl14_low_epsrep_fy3,The Lowest estimation of Reported Earnings Per Share - upcoming 3 years
246,anl14_low_epsrep_fy4,The Lowest estimation of Reported Earnings Per Share - upcoming 4 years
247,anl14_low_epsrep_fy5,The Lowest estimation of Reported Earnings Per Share - upcoming 5 years
248,anl14_low_nav_fy1,The Lowest estimation of Net asset value - upcoming year
249,anl14_low_nav_fy2,The Lowest estimation of Net asset value - upcoming 2 years
250,anl14_low_nav_fy3,The Lowest estimation of Net asset value - upcoming 3 years
251,anl14_low_ndebt_fp1,The Lowest estimation of Net debt - upcoming quarter
252,anl14_low_ndebt_fp2,The Lowest estimation of Net debt - upcoming 2 quarters
253,anl14_low_ndebt_fp3,The Lowest estimation of Net debt - upcoming 3 quarters
254,anl14_low_ndebt_fp4,The Lowest estimation of Net debt - upcoming 4 quarters
255,anl14_low_ndebt_fy1,The Lowest estimation of Net debt - upcoming year
256,anl14_low_ndebt_fy2,The Lowest estimation of Net debt - upcoming 2 years
257,anl14_low_ndebt_fy3,The Lowest estimation of Net debt - upcoming 3 years
258,anl14_low_ndebt_fy4,The Lowest estimation of Net debt - upcoming 4 years
259,anl14_low_ndebt_fy5,The Lowest estimation of Net debt - upcoming 5 years
260,anl14_low_ntp_fp1,The Lowest estimation of Net profit - upcoming quarter
261,anl14_low_ntp_fp2,The Lowest estimation of Net profit - upcoming 2 quarters
262,anl14_low_ntp_fp3,The Lowest estimation of Net profit - upcoming 3 quarters
263,anl14_low_ntp_fp4,The Lowest estimation of Net profit - upcoming 4 quarters
264,anl14_low_ntp_fp5,The Lowest estimation of Net profit - upcoming 5 quarters
265,anl14_low_ntp_fy1,The Lowest estimation of Net profit - upcoming year
266,anl14_low_ntp_fy2,The Lowest estimation of Net profit - upcoming 2 years
267,anl14_low_ntp_fy3,The Lowest estimation of Net profit - upcoming 3 years
268,anl14_low_ntp_fy4,The Lowest estimation of Net profit - upcoming 4 years
269,anl14_low_ntp_fy5,The Lowest estimation of Net profit - upcoming 5 years
270,anl14_low_ntprep_fp1,The Lowest estimation of Reported Net Profit - upcoming quarter
271,anl14_low_ntprep_fp2,The Lowest estimation of Reported Net Profit - upcoming 2 quarters
272,anl14_low_ntprep_fp3,The Lowest estimation of Reported Net Profit - upcoming 3 quarters
273,anl14_low_ntprep_fp4,The Lowest estimation of Reported Net Profit - upcoming 4 quarters
274,anl14_low_ntprep_fp5,The Lowest estimation of Reported Net Profit - upcoming 5 quarters
275,anl14_low_ntprep_fy1,The Lowest estimation of Reported Net Profit - upcoming year
276,anl14_low_ntprep_fy2,The Lowest estimation of Reported Net Profit - upcoming 2 years
277,anl14_low_ntprep_fy3,The Lowest estimation of Reported Net Profit - upcoming 3 years
278,anl14_low_ntprep_fy4,The Lowest estimation of Reported Net Profit - upcoming 4 years
279,anl14_low_ntprep_fy5,The Lowest estimation of Reported Net Profit - upcoming 5 years
280,anl14_low_opp_fp1,The Lowest estimation of Operating Profit - upcoming quarter
281,anl14_low_opp_fy1,The Lowest estimation of Operating Profit - upcoming year
282,anl14_low_opp_fy2,The Lowest estimation of Operating Profit - upcoming 2 years
283,anl14_low_opp_fy3,The Lowest estimation of Operating Profit - upcoming 3 years
284,anl14_low_ptp_fp1,The Lowest estimation of Pretax Profit - upcoming quarter
285,anl14_low_ptp_fp2,The Lowest estimation of Pretax Profit - upcoming 2 quarters
286,anl14_low_ptp_fp3,The Lowest estimation of Pretax Profit - upcoming 3 quarters
287,anl14_low_ptp_fy1,The Lowest estimation of Pretax Profit - upcoming year
288,anl14_low_ptp_fy2,The Lowest estimation of Pretax Profit - upcoming 2 years
289,anl14_low_ptp_fy3,The Lowest estimation of Pretax Profit - upcoming 3 years
290,anl14_low_ptp_fy4,The Lowest estimation of Pretax Profit - upcoming 4 years
291,anl14_low_ptp_fy5,The Lowest estimation of Pretax Profit - upcoming 5 years
292,anl14_low_ptprep_fy1,The Lowest estimation of Reported Pretax Profit - upcoming year
