,id,description
135,fnd6_newqus_spceepspq,S&P Core Earnings EPS Basic - Preliminary
136,fnd6_newqus_spcep12,S&P Core Earnings 12MM - Preliminary
137,fnd6_newqus_spcepd12,S&P Core Earnings 12MM EPS Diluted - Preliminary
138,fnd6_newqus_spcepq,S&P Core Earnings - Preliminary
139,fnd6_newqus_spiq,Special Items
140,fnd6_newqus_stkcoq,Stock Compensation Expense
141,fnd6_newqus_tstknq,Treasury Stock - Number of Common Shares
142,fnd6_newqus_tstkq,Treasury Stock - Total (All Capital)
143,fnd6_newqus_txditcq,Deferred Taxes and Investment Tax Credit
144,fnd6_newqus_txpq,Income Taxes Payable
145,fnd6_newqus_txtq,Income Taxes - Total
146,fnd6_newqus_wcapq,Working Capital (Balance Sheet)
147,fnd6_newqus_xidoq,Extraordinary Items and Discontinued Operations
148,fnd6_newqus_xintq,Interest and Related Expense- Total
149,fnd6_newqus_xiq,Extraordinary Items
150,fnd6_newqus_xoprq,Operating Expense- Total
151,fnd6_newqus_xoptdq,Implied Option EPS Diluted
152,fnd6_newqus_xoptq,Implied Option Expense
153,fnd6_newqus_xsgaq,"Selling, General and Administrative Expenses"
154,fnd6_us_chq,Cash
155,fnd6_us_cibegniq,Comp Inc - Beginning Net Income
156,fnd6_us_cicurrq,Comp Inc - Currency Trans Adj
157,fnd6_us_ciderglq,Comp Inc - Derivative Gains/Losses
158,fnd6_us_cimiiq,Comprehensive Income - Noncontrolling Interest
159,fnd6_us_ciotherq,Comp Inc - Other Adj
160,fnd6_us_cipenq,Comp Inc - Minimum Pension Adj
161,fnd6_us_ciq,Comprehensive Income - Total
162,fnd6_us_cisecglq,Comp Inc - Securities Gains/Losses
163,fnd6_us_citotalq,Comprehensive Income - Parent
164,fnd6_us_cstkcvq,Common Stock-Carrying Value
165,fnd6_us_dd1q,Long Term Debt Due in One Year
166,fnd6_us_drcq,Deferred Revenue - Current
167,fnd6_us_drltq,Deferred Revenue - Long-term
168,fnd6_us_esopctq,Common ESOP Obligation - Total
169,fnd6_us_esopnrq,Preferred ESOP Obligation - Non-Redeemable
170,fnd6_us_esoprq,Preferred ESOP Obligation - Redeemable
171,fnd6_us_esoptq,Preferred ESOP Obligation - Total
172,fnd6_us_ibmiiq,Income before Extraordinary Items and Noncontrolling Interests
173,fnd6_us_intanq,Intangible Assets - Total
174,fnd6_us_invoq,Inventory - Other
175,fnd6_us_ivstq,Short-Term Investments- Total
176,fnd6_us_lltq,Long-Term Liabilities (Total)
177,fnd6_us_lnoq,Liabilities Netting & Other Adjustments
178,fnd6_us_lol2q,Liabilities Level2 (Observable)
179,fnd6_us_loxdrq,Liabilities - Other - Excluding Deferred Revenue
180,fnd6_us_lqpl1q,Liabilities Level1 (Quoted Prices)
181,fnd6_us_lul3q,Liabilities Level3 (Unobservable)
182,fnd6_us_mibnq,NonRedeemable Noncontrolling Interest (Balance Sheet) - Quarterly
183,fnd6_us_mibtq,Noncontrolling Interests - Total - Balance Sheet - Quarterly
184,fnd6_us_msaq,Accum Other Comp Inc - Marketable Security Adjustments
185,fnd6_us_npq,Notes Payable
186,fnd6_us_pnrshoq,Nonred Pfd Shares Outs (000) - Quarterly
187,fnd6_us_rectaq,Accum Other Comp Inc - Cumulative Translation Adjustments
188,fnd6_us_rectoq,Receivables - Current Other incl Tax Refunds
189,fnd6_us_rectrq,Receivables - Trade
190,fnd6_us_teqq,Stockholders Equity - Total - Quarterly
191,fnd6_us_tfvaq,Total Fair Value Assets
192,fnd6_us_tfvlq,Total Fair Value Liabilities
193,fnd6_us_txdbcaq,Current Deferred Tax Asset
194,fnd6_us_txdbclq,Current Deferred Tax Liability
195,fnd6_us_txwq,Excise Taxes
196,fnd6_us_xaccq,Accrued Expenses
