,id,description
457,anl69_nav_best_eeps_cur_yr,Est Earnings per share Curr Year
458,anl69_nav_best_eeps_nxt_yr,Est Earnings per share Next Year
460,anl69_nav_expected_report_dt,Expected Earnings Report Date
462,anl69_nav_expected_report_time,Expected Earnings Report Time
466,anl69_ndebt_best_crncy_iso,Currency (ISO)
467,anl69_ndebt_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
468,anl69_ndebt_best_cur_fiscal_year_period,Current Fiscal Year Period Date
469,anl69_ndebt_best_eeps_cur_yr,Est Earnings per share Curr Year
470,anl69_ndebt_best_eeps_nxt_yr,Est Earnings per share Next Year
473,anl69_ndebt_expected_report_dt,Expected Earnings Report Date
474,anl69_ndebt_expected_report_time,Expected Earnings Report Time
478,anl69_net_best_crncy_iso,Currency (ISO)
479,anl69_net_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
480,anl69_net_best_cur_fiscal_year_period,Current Fiscal Year Period Date
481,anl69_net_best_eeps_cur_yr,Est Earnings per share Curr Year
482,anl69_net_best_eeps_nxt_yr,Est Earnings per share Next Year
486,anl69_net_expected_report_dt,Expected Earnings Report Date
488,anl69_net_expected_report_time,Expected Earnings Report Time
492,anl69_opp_best_crncy_iso,Currency (ISO)
493,anl69_opp_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
494,anl69_opp_best_cur_fiscal_year_period,Current Fiscal Year Period Date
495,anl69_opp_best_eeps_cur_yr,Est Earnings per share Curr Year
496,anl69_opp_best_eeps_nxt_yr,Est Earnings per share Next Year
499,anl69_opp_expected_report_dt,Expected Earnings Report Date
501,anl69_opp_expected_report_time,Expected Earnings Report Time
505,anl69_out_best_crncy_iso,Currency (ISO)
506,anl69_out_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
507,anl69_out_best_cur_fiscal_year_period,Current Fiscal Year Period Date
508,anl69_out_best_eeps_cur_yr,Est Earnings per share Curr Year
509,anl69_out_best_eeps_nxt_yr,Est Earnings per share Next Year
512,anl69_out_expected_report_dt,Expected Earnings Report Date
513,anl69_out_expected_report_time,Expected Earnings Report Time
514,anl69_pe_best_crncy_iso,Currency (ISO)
515,anl69_pe_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
516,anl69_pe_best_cur_fiscal_year_period,Current Fiscal Year Period Date
517,anl69_pe_best_eeps_cur_yr,Est Earnings per share Curr Year
518,anl69_pe_best_eeps_nxt_yr,Est Earnings per share Next Year
520,anl69_pe_expected_report_dt,Expected Earnings Report Date
521,anl69_pe_expected_report_time,Expected Earnings Report Time
522,anl69_ptp_best_crncy_iso,Currency (ISO)
523,anl69_ptp_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
524,anl69_ptp_best_cur_fiscal_year_period,Current Fiscal Year Period Date
525,anl69_ptp_best_eeps_cur_yr,Est Earnings per share Curr Year
526,anl69_ptp_best_eeps_nxt_yr,Est Earnings per share Next Year
529,anl69_ptp_expected_report_dt,Expected Earnings Report Date
531,anl69_ptp_expected_report_time,Expected Earnings Report Time
534,anl69_qerf_dvd,Dividend Frequency
535,anl69_qerf_dvd_yqe,Dividend Frequency
536,anl69_rec_best_crncy_iso,Currency (ISO)
537,anl69_rec_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
538,anl69_rec_best_cur_fiscal_year_period,Current Fiscal Year Period Date
539,anl69_rec_best_eeps_cur_yr,Est Earnings per share Curr Year
540,anl69_rec_best_eeps_nxt_yr,Est Earnings per share Next Year
543,anl69_rec_expected_report_dt,Expected Earnings Report Date
545,anl69_rec_expected_report_time,Expected Earnings Report Time
550,anl69_roa_best_crncy_iso,Currency (ISO)
551,anl69_roa_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
552,anl69_roa_best_cur_fiscal_year_period,Current Fiscal Year Period Date
553,anl69_roa_best_eeps_cur_yr,Est Earnings per share Curr Year
554,anl69_roa_best_eeps_nxt_yr,Est Earnings per share Next Year
556,anl69_roa_expected_report_dt,Expected Earnings Report Date
558,anl69_roa_expected_report_time,Expected Earnings Report Time
562,anl69_roe_best_crncy_iso,Currency (ISO)
563,anl69_roe_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
564,anl69_roe_best_cur_fiscal_year_period,Current Fiscal Year Period Date
565,anl69_roe_best_eeps_cur_yr,Est Earnings per share Curr Year
566,anl69_roe_best_eeps_nxt_yr,Est Earnings per share Next Year
569,anl69_roe_expected_report_dt,Expected Earnings Report Date
571,anl69_roe_expected_report_time,Expected Earnings Report Time
575,anl69_sales_best_crncy_iso,Currency (ISO)
576,anl69_sales_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
577,anl69_sales_best_cur_fiscal_year_period,Current Fiscal Year Period Date
578,anl69_sales_best_eeps_cur_yr,Est Earnings per share Curr Year
579,anl69_sales_best_eeps_nxt_yr,Est Earnings per share Next Year
582,anl69_sales_expected_report_dt,Expected Earnings Report Date
584,anl69_sales_expected_report_time,Expected Earnings Report Time
588,anl69_security_typ,Security Type
589,anl69_security_typ2,Security Type
590,anl69_target_best_crncy_iso,Currency (ISO)
591,anl69_target_best_cur_fiscal_qtr_period,Current Fiscal Quarter Period D
592,anl69_target_best_cur_fiscal_year_period,Current Fiscal Year Period Date
593,anl69_target_best_eeps_cur_yr,Est Earnings per share Curr Year
594,anl69_target_best_eeps_nxt_yr,Est Earnings per share Next Year
597,anl69_target_expected_report_dt,Expected Earnings Report Date
599,anl69_target_expected_report_time,Expected Earnings Report Time
603,anl69_td_xe_dvd,Dividend Ex Date
604,anl69_ticker_and_exch_code,Ticker and Exchange Code
608,anl69_when_issued,Indicates if the security does not have a firm settlement
609,anl69_ycnrc_dvd,Dividend Currency
